Brand,Processor_brand,RAM_GB,RAM_type,Storage_capacity_GB,Graphics_brand,Display_size_inches
HP,Intel,4,LPDDR4,64,Intel,14
Lenovo,AMD,8,DDR4,256,AMD,14
Dell,AMD,8,DDR4,512,AMD,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
Asus,Intel,16,DDR5,1000,NVIDIA,15.6
Lenovo,Intel,16,DDR4,512,Intel,15.6
HP,Intel,8,DDR4,1256,Intel,15.6
Dell,AMD,8,DDR4,512,AMD,15.6
HP,AMD,8,DDR4,512,NVIDIA,15.6
Asus,AMD,16,DDR5,512,NVIDIA,15.6
Apple,Apple,8,,256,Apple,13.3
Dell,Intel,8,DDR4,512,Intel,14
HP,Intel,32,LPDDR4X,1000,Intel,13.5
HP,Intel,16,LPDDR5X,1000,NVIDIA,14
HP,Intel,16,LPDDR5,512,NVIDIA,15.6
Lenovo,Intel,8,DDR4,512,Intel,16
HP,AMD,8,LPDDR5,512,AMD,15.6
Honor,Intel,16,LPDDRX4,512,Intel,14
MSI,Intel,32,DDR5,1000,NVIDIA,15.6
MSI,Intel,16,DDR5,1000,NVIDIA,15.6
MSI,Intel,16,DDR5,1000,NVIDIA,15.6
MSI,Intel,32,DDR5,2000,NVIDIA,16
MSI,Intel,32,LPDDR5,1000,NVIDIA,16
Samsung,Intel,16,LPDDR5,512,Intel,15.6
Samsung,Intel,16,LPDDR5X,1000,Intel,16
MSI,Intel,16,LPDDR5,1000,Intel,13.3
MSI,Intel,32,LPDDR5,1000,NVIDIA,16
Samsung,Intel,16,LPDDR5X,512,Intel,14
Samsung,Intel,16,LPDDR5X,512,Intel,14
Samsung,Intel,16,LPDDR5X,512,Intel,16
Samsung,Intel,32,LPDDR5X,1000,Intel,16
Lenovo,AMD,16,DDR4,512,AMD,14
Asus,Intel,32,DDR5,2000,NVIDIA,16
HP,AMD,16,DDR4,1000,AMD,15.6
Acer,Intel,16,LPDDR5X,512,Intel,14
HP,Intel,32,LPDDR5X,1000,NVIDIA,16
HP,AMD,16,DDR5,1000,NVIDIA,16.1
Dell,Intel,16,DDR5,1000,NVIDIA,15.6
Lenovo,Intel,16,DDR5,512,NVIDIA,15.6
Lenovo,Intel,8,DDR5,512,Intel,14
HP,Intel,8,DDR4,512,Intel,15.6
Lenovo,Intel,8,DDR5,512,Intel,15.6
Lenovo,AMD,16,DDR4,512,AMD,15.6
HP,Intel,32,LPDDR5X,2000,Intel,16
HP,Intel,16,DDR4,512,Intel,15.6
HP,Intel,16,DDR5,1000,NVIDIA,16.1
Asus,Intel,16,DDR4,512,Intel,14
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Dell,Intel,16,DDR5,1000,NVIDIA,15.6
Dell,Intel,16,DDR5,1000,NVIDIA,16
Lenovo,Intel,16,LPDDR5,512,Intel,15.6
Lenovo,AMD,16,DDR4,512,AMD,15.6
Acer,Intel,8,LPDDR5,512,Intel,15.6
Lenovo,Intel,16,LPDDR5,1000,Intel,16
